id,created_at,door_1,inside_1,door_2,inside_2,door_3,inside_3,door_4,inside_4,door_5,inside_5,door_6,inside_6,door_7,inside_7,door_8,inside_8,door_9,inside_9,door_10,inside_10,door_11,inside_11,door_12,inside_12,door_13,inside_13,door_14,inside_14,door_15,inside_15,behavior,description
207,2024-05-13 06:30:53+00,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
208,2024-05-13 06:30:54+00,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
209,2024-05-13 06:30:55+00,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
210,2024-05-13 06:30:56+00,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
211,2024-05-13 06:30:57+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
212,2024-05-13 06:30:58+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
213,2024-05-13 06:30:59+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
214,2024-05-13 06:31:00+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,,,In,2306 - 5m IN - 1
215,2024-05-13 06:31:01+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,,,,,,,,,,,,,In,2306 - 5m IN - 1
216,2024-05-13 06:31:02+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,,,,,,,,,,,In,2306 - 5m IN - 1
217,2024-05-13 06:31:03+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,,,,,,,,,In,2306 - 5m IN - 1
218,2024-05-13 06:31:04+00,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Far,Near,Far,Near,Near,Near,Near,,,,,,,In,2306 - 5m IN - 1
